id,filename,source_lines,initial_category,classifier_category,classifier_confidence,known_vulnerabilities,confirmed_category,exploitability,loss_percentage,notes
vault_yield_064,integer_overflow_multitx_multifunc_feasible.sol,28,vault_yield,other,100.0%,arithmetic,,,,
vault_yield_065,timelock.sol,33,vault_yield,vault_yield,61.5%,arithmetic,,,,
vault_yield_066,tokensalechallenge.sol,36,vault_yield,token,100.0%,arithmetic,,,,
vault_yield_067,integer_overflow_multitx_onefunc_feasible.sol,25,vault_yield,other,100.0%,arithmetic,,,,
vault_yield_068,integer_overflow_mapping_sym_1.sol,19,vault_yield,other,100.0%,arithmetic,,,,
vault_yield_069,integer_overflow_benign_1.sol,20,vault_yield,other,100.0%,arithmetic,,,,
vault_yield_070,integer_overflow_1.sol,25,vault_yield,other,100.0%,arithmetic,,,,
staking_rewards_071,reentrancy_bonus.sol,32,staking_rewards,staking_rewards,50.0%,reentrancy,,,,
staking_rewards_072,eth_tx_order_dependence_minimal.sol,35,staking_rewards,staking_rewards,88.9%,front_running,,,,
staking_rewards_073,etherpot_lotto.sol,163,staking_rewards,other,100.0%,unchecked_low_level_calls,,,,
staking_rewards_074,0xf2570186500a46986f3139f65afedc2afe4f445d.sol,21,staking_rewards,other,100.0%,unchecked_low_level_calls,,,,
staking_rewards_075,42.sol,133,staking_rewards,staking_rewards,88.9%,,,,,
staking_rewards_076,25.sol,201,staking_rewards,vault_yield,50.8%,,,,,
staking_rewards_077,35.sol,352,staking_rewards,vault_yield,78.3%,,,,,
staking_rewards_078,17.sol,210,staking_rewards,token,100.0%,,,,,
staking_rewards_079,33.sol,134,staking_rewards,staking_rewards,88.9%,,,,,
staking_rewards_080,blackjack.sol,309,staking_rewards,other,100.0%,,,,,
staking_rewards_081,random_number_generator.sol,27,staking_rewards,other,100.0%,,,,,
staking_rewards_082,etheraffle.sol,175,staking_rewards,token,100.0%,,,,,
staking_rewards_083,guess_the_random_number.sol,30,staking_rewards,token,100.0%,,,,,
staking_rewards_084,lottery.sol,69,staking_rewards,other,100.0%,,,,,
staking_rewards_085,old_blockhash.sol,43,staking_rewards,token,100.0%,,,,,
other_086,blackjack.sol,309,other,other,100.0%,,,,,
other_087,random_number_generator.sol,27,other,other,100.0%,,,,,
other_088,etheraffle.sol,175,other,token,100.0%,,,,,
other_089,guess_the_random_number.sol,30,other,token,100.0%,,,,,
other_090,lottery.sol,69,other,other,100.0%,,,,,
other_091,old_blockhash.sol,43,other,token,100.0%,,,,,
other_092,integer_overflow_multitx_multifunc_feasible.sol,28,other,other,100.0%,arithmetic,,,,
other_093,timelock.sol,33,other,vault_yield,61.5%,arithmetic,,,,
other_094,tokensalechallenge.sol,36,other,token,100.0%,arithmetic,,,,
other_095,integer_overflow_multitx_onefunc_feasible.sol,25,other,other,100.0%,arithmetic,,,,
other_096,integer_overflow_mapping_sym_1.sol,19,other,other,100.0%,arithmetic,,,,
other_097,integer_overflow_benign_1.sol,20,other,other,100.0%,arithmetic,,,,
other_098,integer_overflow_1.sol,25,other,other,100.0%,arithmetic,,,,
other_099,overflow_simple_add.sol,17,other,vault_yield,100.0%,arithmetic,,,,
other_100,token.sol,31,other,token,100.0%,arithmetic,,,,
defi_amm_dex_uniswap-v3_01,UniswapV3Pool.sol,870,amm_dex,amm_dex,91.1%,reentrancy; flash_loan; price_manipulation,,,,
defi_amm_dex_uniswap-v3_02,UniswapV3Factory.sol,74,amm_dex,amm_dex,100.0%,reentrancy; flash_loan; price_manipulation,,,,
defi_amm_dex_uniswap-v3_03,UniswapV3PoolDeployer.sol,39,amm_dex,amm_dex,100.0%,reentrancy; flash_loan; price_manipulation,,,,
defi_amm_dex_uniswap-v3_04,LiquidityMath.sol,18,amm_dex,amm_dex,100.0%,reentrancy; flash_loan; price_manipulation,,,,
defi_amm_dex_uniswap-v3_05,SwapMath.sol,99,amm_dex,amm_dex,100.0%,reentrancy; flash_loan; price_manipulation,,,,
defi_amm_dex_uniswap-v3_06,IUniswapV3PoolDeployer.sol,27,amm_dex,amm_dex,100.0%,reentrancy; flash_loan; price_manipulation,,,,
defi_amm_dex_uniswap-v3_07,IUniswapV3Pool.sol,25,amm_dex,amm_dex,97.8%,reentrancy; flash_loan; price_manipulation,,,,
defi_amm_dex_uniswap-v3_08,IUniswapV3Factory.sol,79,amm_dex,amm_dex,100.0%,reentrancy; flash_loan; price_manipulation,,,,
defi_amm_dex_uniswap-v3_09,IUniswapV3PoolImmutables.sol,36,amm_dex,amm_dex,100.0%,reentrancy; flash_loan; price_manipulation,,,,
defi_amm_dex_uniswap-v3_10,IUniswapV3PoolOwnerActions.sol,24,amm_dex,amm_dex,92.9%,reentrancy; flash_loan; price_manipulation,,,,
defi_lending_aave-v3_01,AaveOracle.sol,147,lending,lending,87.5%,flash_loan; oracle; liquidation,,,,
defi_lending_aave-v3_02,IDelegationToken.sol,16,lending,governance,66.7%,flash_loan; oracle; liquidation,,,,
defi_lending_aave-v3_03,IPoolDataProvider.sol,244,lending,amm_dex,60.5%,flash_loan; oracle; liquidation,,,,
defi_lending_aave-v3_04,IScaledBalanceToken.sol,73,lending,amm_dex,65.1%,flash_loan; oracle; liquidation,,,,
defi_lending_aave-v3_05,IInitializableDebtToken.sol,53,lending,lending,60.0%,flash_loan; oracle; liquidation,,,,
defi_lending_aave-v3_06,ISequencerOracle.sol,30,lending,lending,100.0%,flash_loan; oracle; liquidation,,,,
defi_lending_aave-v3_07,IPoolAddressesProviderRegistry.sol,61,lending,lending,66.7%,flash_loan; oracle; liquidation,,,,
defi_lending_aave-v3_08,IPriceOracleSentinel.sol,68,lending,lending,100.0%,flash_loan; oracle; liquidation,,,,
defi_lending_aave-v3_09,IPoolConfigurator.sol,487,lending,amm_dex,51.3%,flash_loan; oracle; liquidation,,,,
defi_lending_aave-v3_10,IAaveOracle.sol,72,lending,lending,100.0%,flash_loan; oracle; liquidation,,,,
defi_lending_compound-v2_01,SimplePriceOracle.sol,45,lending,lending,100.0%,oracle; reentrancy; governance,,,,
defi_lending_compound-v2_02,CToken.sol,1157,lending,lending,77.9%,oracle; reentrancy; governance,,,,
defi_lending_compound-v2_03,PriceOracle.sol,18,lending,lending,100.0%,oracle; reentrancy; governance,,,,
defi_vault_yield_yearn-vaults_01,BaseStrategy.sol,996,vault_yield,vault_yield,85.1%,reentrancy; share_manipulation; flash_loan,,,,
defi_staking_rewards_convex-staking_01,vlCvxExtraRewardDistribution.sol,189,staking_rewards,staking_rewards,95.2%,reward_manipulation; access_control,,,,
defi_staking_rewards_convex-staking_02,RewardFactory.sol,100,staking_rewards,amm_dex,54.1%,reward_manipulation; access_control,,,,
defi_staking_rewards_convex-staking_03,CvxStakingProxyV2.sol,200,staking_rewards,staking_rewards,69.6%,reward_manipulation; access_control,,,,
defi_staking_rewards_convex-staking_04,CvxStakingProxy.sol,180,staking_rewards,staking_rewards,69.6%,reward_manipulation; access_control,,,,
defi_staking_rewards_convex-staking_05,ExtraRewardStashV2.sol,226,staking_rewards,staking_rewards,70.4%,reward_manipulation; access_control,,,,
defi_staking_rewards_convex-staking_06,VirtualBalanceRewardPool.sol,216,staking_rewards,staking_rewards,90.7%,reward_manipulation; access_control,,,,
defi_staking_rewards_convex-staking_07,PoolRewardHook.sol,85,staking_rewards,staking_rewards,53.8%,reward_manipulation; access_control,,,,
defi_staking_rewards_convex-staking_08,RewardHook.sol,37,staking_rewards,staking_rewards,66.7%,reward_manipulation; access_control,,,,
defi_staking_rewards_convex-staking_09,ChefRewardHook.sol,63,staking_rewards,staking_rewards,44.4%,reward_manipulation; access_control,,,,
defi_staking_rewards_convex-staking_10,ExtraRewardStashV1.sol,154,staking_rewards,staking_rewards,73.7%,reward_manipulation; access_control,,,,
defi_amm_dex_curve-stableswap_01,aERC20.sol,153,amm_dex,amm_dex,58.2%,reentrancy; price_manipulation,,,,
defi_amm_dex_curve-stableswap_02,AaveLendingPoolMock.sol,42,amm_dex,amm_dex,31.6%,reentrancy; price_manipulation,,,,
defi_amm_dex_balancer-v2_01,WeightedPoolProtocolFees.sol,361,amm_dex,amm_dex,71.1%,,,,,
defi_amm_dex_balancer-v2_02,BaseWeightedPool.sol,480,amm_dex,amm_dex,65.0%,,,,,
defi_amm_dex_balancer-v2_03,WeightedPoolFactory.sol,79,amm_dex,amm_dex,50.0%,,,,,
defi_amm_dex_balancer-v2_04,WeightedPool.sol,417,amm_dex,amm_dex,54.4%,,,,,
defi_amm_dex_balancer-v2_05,LiquidityBootstrappingPoolSettings.sol,372,amm_dex,amm_dex,84.2%,,,,,
defi_amm_dex_balancer-v2_06,LiquidityBootstrappingPoolStorageLib.sol,164,amm_dex,amm_dex,100.0%,,,,,
defi_amm_dex_balancer-v2_07,LiquidityBootstrappingPool.sol,341,amm_dex,amm_dex,73.8%,,,,,
defi_amm_dex_balancer-v2_08,LiquidityBootstrappingPoolFactory.sol,75,amm_dex,amm_dex,50.0%,,,,,
defi_amm_dex_balancer-v2_09,ManagedPoolAddRemoveTokenLib.sol,226,amm_dex,amm_dex,64.5%,,,,,
defi_amm_dex_balancer-v2_10,ManagedPoolAmmLib.sol,283,amm_dex,amm_dex,76.5%,,,,,
defi_lending_euler-finance_01,PToken.sol,147,lending,token,57.1%,flash_loan; donation_attack; liquidation,,,,
defi_lending_euler-finance_02,JunkETokenUpgrade.sol,15,lending,other,100.0%,flash_loan; donation_attack; liquidation,,,,
defi_lending_euler-finance_03,WBTCOracle.sol,55,lending,other,100.0%,flash_loan; donation_attack; liquidation,,,,
defi_lending_euler-finance_04,WSTETHOracle.sol,59,lending,lending,100.0%,flash_loan; donation_attack; liquidation,,,,
defi_lending_euler-finance_05,chainlinkBasedOracle.sol,55,lending,other,100.0%,flash_loan; donation_attack; liquidation,,,,
defi_lending_euler-finance_06,EToken.sol,388,lending,amm_dex,40.7%,flash_loan; donation_attack; liquidation,,,,
defi_lending_euler-finance_07,DToken.sol,241,lending,lending,68.6%,flash_loan; donation_attack; liquidation,,,,
defi_lending_euler-finance_08,Liquidation.sol,289,lending,lending,85.0%,flash_loan; donation_attack; liquidation,,,,
defi_lending_notional-v2_01,NotionalV2ManualLiquidator.sol,284,lending,lending,80.0%,,,,,
defi_lending_notional-v2_02,NotionalV2BaseLiquidator.sol,349,lending,lending,82.6%,,,,,
defi_lending_notional-v2_03,NotionalV2FlashLiquidatorBase.sol,164,lending,lending,87.0%,,,,,
defi_lending_notional-v2_04,NotionalV2FlashLiquidator.sol,117,lending,lending,47.1%,,,,,
defi_lending_notional-v2_05,NotionalV2LiquidatorStorageLayoutV1.sol,9,lending,other,100.0%,,,,,
defi_lending_notional-v2_06,MigrateCTokens.sol,127,lending,lending,54.1%,,,,,
defi_lending_notional-v2_07,LiquidatefCashAction.sol,256,lending,lending,98.6%,,,,,
defi_lending_notional-v2_08,nTokenRedeemAction.sol,373,lending,amm_dex,61.5%,,,,,
defi_lending_notional-v2_09,nTokenAction.sol,308,lending,token,48.6%,,,,,
defi_lending_notional-v2_10,LiquidateCurrencyAction.sol,437,lending,lending,94.7%,,,,,
